config,metric,n,delta,ci_low,ci_high,p_value,p_holm
one-step,truthfulness,479,-0.10020876826722339,-0.13883089770354906,-0.06471816283924843,9.999000099990002e-05,0.0004999500049995
no-judge-refine,truthfulness,480,-0.03333333333333333,-0.06460937499999998,-0.003125,0.043695630436956304,0.08739126087391261
no-rephrase,truthfulness,480,-0.11145833333333334,-0.15,-0.07395833333333333,9.999000099990002e-05,0.0004999500049995
no-rerank,truthfulness,480,-0.017708333333333333,-0.05,0.014583333333333334,0.3157684231576842,0.3157684231576842
closed-book,truthfulness,480,-0.6229166666666667,-0.6864843749999999,-0.5614583333333333,9.999000099990002e-05,0.0004999500049995
one-step,perfect_rate,479,-0.09812108559498957,-0.1336116910229645,-0.06466597077244335,9.999000099990002e-05,0.0004999500049995
no-judge-refine,perfect_rate,480,-0.03333333333333333,-0.06041666666666667,-0.00625,0.025797420257974202,0.051594840515948405
no-rephrase,perfect_rate,480,-0.10833333333333334,-0.14166666666666666,-0.075,9.999000099990002e-05,0.0004999500049995
no-rerank,perfect_rate,480,-0.016666666666666666,-0.04583333333333333,0.0125,0.3290670932906709,0.3290670932906709
closed-book,perfect_rate,480,-0.65,-0.6917187499999999,-0.6083333333333333,9.999000099990002e-05,0.0004999500049995
one-step,acceptable_rate,479,-0.0041753653444676405,-0.031315240083507306,0.022964509394572025,0.8809119088091191,1.0
no-judge-refine,acceptable_rate,480,0.0125,-0.010416666666666666,0.035416666666666666,0.35706429357064295,1.0
no-rephrase,acceptable_rate,480,0.0020833333333333333,-0.025,0.029166666666666667,1.0,1.0
no-rerank,acceptable_rate,480,0.00625,-0.020833333333333332,0.03333333333333333,0.7641235876412359,1.0
closed-book,acceptable_rate,480,0.39166666666666666,0.34375,0.4395833333333333,9.999000099990002e-05,0.0004999500049995
one-step,missing_rate,479,0.1022964509394572,0.07515657620041753,0.1315240083507307,9.999000099990002e-05,0.0004999500049995
no-judge-refine,missing_rate,480,0.014583333333333334,0.0020833333333333333,0.029166666666666667,0.0663933606639336,0.1327867213278672
no-rephrase,missing_rate,480,0.10208333333333333,0.075,0.13125,9.999000099990002e-05,0.0004999500049995
no-rerank,missing_rate,480,0.00625,-0.00625,0.01875,0.5147485251474853,0.5147485251474853
closed-book,missing_rate,480,0.08958333333333333,0.0625,0.11666666666666667,9.999000099990002e-05,0.0004999500049995
one-step,hallucination_rate,479,0.0,-0.012526096033402923,0.012526096033402923,1.0,1.0
no-judge-refine,hallucination_rate,480,0.00625,-0.00625,0.020833333333333332,0.5489451054894511,1.0
no-rephrase,hallucination_rate,480,0.004166666666666667,-0.010416666666666666,0.01875,0.7894210578942106,1.0
no-rerank,hallucination_rate,480,0.004166666666666667,-0.010416666666666666,0.01875,0.7856214378562144,1.0
closed-book,hallucination_rate,480,0.16875,0.13541666666666666,0.20416666666666666,9.999000099990002e-05,0.0004999500049995
one-step,nugget_recall,469,-0.11393034825870647,-0.14424395877754087,-0.08400764036958067,9.999000099990002e-05,0.0004999500049995
no-judge-refine,nugget_recall,470,-0.01617021276595745,-0.03290780141843972,-0.0001764184397163238,0.055194480551944806,0.11038896110388961
no-rephrase,nugget_recall,470,-0.11205673758865248,-0.1430868794326241,-0.0820913120567376,9.999000099990002e-05,0.0004999500049995
no-rerank,nugget_recall,470,-0.012730496453900708,-0.03028368794326241,0.005107269503546086,0.16548345165483452,0.16548345165483452
closed-book,nugget_recall,470,-0.4115248226950355,-0.4432624113475177,-0.37932535460992917,9.999000099990002e-05,0.0004999500049995
one-step,contradiction_rate,469,0.0,-0.01279317697228145,0.01279317697228145,1.0,1.0
no-judge-refine,contradiction_rate,470,0.006382978723404255,-0.006382978723404255,0.02127659574468085,0.5555444455554445,1.0
no-rephrase,contradiction_rate,470,0.00425531914893617,-0.01276595744680851,0.019148936170212766,0.7921207879212079,1.0
no-rerank,contradiction_rate,470,0.00425531914893617,-0.010638297872340425,0.02127659574468085,0.7908209179082092,1.0
closed-book,contradiction_rate,470,0.15106382978723404,0.11914893617021277,0.1851063829787234,9.999000099990002e-05,0.0004999500049995
one-step,severe_harm_rate,469,-0.0042643923240938165,-0.017057569296375266,0.006396588486140725,0.7287271272872713,1.0
