config,metric,interval,primary,n,mean,ci_low,ci_high
full,truthfulness,bootstrap,True,480,0.890625,0.8625,0.915625
one-step,truthfulness,bootstrap,True,479,0.7901878914405011,0.7536534446764092,0.8256784968684759
no-judge-refine,truthfulness,bootstrap,True,480,0.8572916666666667,0.825,0.8875
no-rephrase,truthfulness,bootstrap,True,480,0.7791666666666667,0.740625,0.815625
no-rerank,truthfulness,bootstrap,True,480,0.8729166666666667,0.8427083333333333,0.9010416666666666
closed-book,truthfulness,bootstrap,True,480,0.2677083333333333,0.20729166666666668,0.325
full,perfect_rate,wilson,True,480,0.8333333333333334,0.7973744910720019,0.8639991762031464
one-step,perfect_rate,wilson,True,479,0.7348643006263048,0.6935797790140339,0.772411688557012
no-judge-refine,perfect_rate,wilson,True,480,0.8,0.7618971051871651,0.8333391953604682
no-rephrase,perfect_rate,wilson,True,480,0.725,0.6833873800176918,0.763039845393033
no-rerank,perfect_rate,wilson,True,480,0.8166666666666667,0.7795831338309651,0.8487218500804254
closed-book,perfect_rate,wilson,True,480,0.18333333333333332,0.15127814991957453,0.2204168661690348
full,acceptable_rate,wilson,False,480,0.14375,0.1151899008950451,0.1779669922046404
one-step,acceptable_rate,wilson,False,479,0.13987473903966596,0.11166920042071399,0.17381054930368228
no-judge-refine,acceptable_rate,wilson,False,480,0.15625,0.1265113748359063,0.19144703078659725
no-rephrase,acceptable_rate,wilson,False,480,0.14583333333333334,0.11707154391561275,0.18021893460454247
no-rerank,acceptable_rate,wilson,False,480,0.15,0.12084126058694183,0.1847163887741527
closed-book,acceptable_rate,wilson,False,480,0.5354166666666667,0.49069456016895785,0.5795763919790267
full,missing_rate,wilson,True,480,0.008333333333333333,0.003245305949041889,0.021228534820114747
one-step,missing_rate,wilson,True,479,0.11064718162839249,0.0855935598436597,0.14189614058300642
no-judge-refine,missing_rate,wilson,True,480,0.022916666666666665,0.012843564339147085,0.04056537437329727
no-rephrase,missing_rate,wilson,True,480,0.11041666666666666,0.08541308783932847,0.14160643853284227
no-rerank,missing_rate,wilson,True,480,0.014583333333333334,0.007081732154601205,0.029792864875964456
closed-book,missing_rate,wilson,True,480,0.09791666666666667,0.07443544330697291,0.12778257054237976
full,hallucination_rate,wilson,True,480,0.014583333333333334,0.007081732154601205,0.029792864875964456
one-step,hallucination_rate,wilson,True,479,0.014613778705636743,0.0070965532423677875,0.02985441377747061
no-judge-refine,hallucination_rate,wilson,True,480,0.020833333333333332,0.011354857070310935,0.03792049622166375
no-rephrase,hallucination_rate,wilson,True,480,0.01875,0.009895177573222579,0.035246590298282435
no-rerank,hallucination_rate,wilson,True,480,0.01875,0.009895177573222579,0.035246590298282435
closed-book,hallucination_rate,wilson,True,480,0.18333333333333332,0.15127814991957453,0.2204168661690348
full,nugget_recall,bootstrap,True,470,0.9304964539007093,0.9128723404255318,0.9464547872340426
one-step,nugget_recall,bootstrap,True,469,0.8164179104477611,0.7843994314143568,0.8469438521677328
no-judge-refine,nugget_recall,bootstrap,True,470,0.9143262411347518,0.8942198581560283,0.9324494680851063
no-rephrase,nugget_recall,bootstrap,True,470,0.8184397163120568,0.7862056737588652,0.8489370567375886
no-rerank,nugget_recall,bootstrap,True,470,0.9177659574468086,0.8984397163120567,0.9356028368794327
closed-book,nugget_recall,bootstrap,True,470,0.5189716312056737,0.4896799645390071,0.5489379432624113
full,contradiction_rate,wilson,False,470,0.014893617021276596,0.007232788312737794,0.030420014093151922
one-step,contradiction_rate,wilson,False,469,0.014925373134328358,0.0072482491188174975,0.030484184211356652
no-judge-refine,contradiction_rate,wilson,False,470,0.02127659574468085,0.011597287221893526,0.03871797831023448
no-rephrase,contradiction_rate,wilson,False,470,0.019148936170212766,0.01010637969252688,0.035988064797521695
no-rerank,contradiction_rate,wilson,False,470,0.019148936170212766,0.01010637969252688,0.035988064797521695
closed-book,contradiction_rate,wilson,False,470,0.16595744680851063,0.13505786322846167,0.2022732331650676
full,severe_harm_rate,wilson,True,470,0.014893617021276596,0.007232788312737794,0.030420014093151922
one-step,severe_harm_rate,wilson,True,469,0.010660980810234541,0.004562091484166541,0.024710846754404738
no-judge-refine,severe_harm_rate,wilson,True,470,0.01702127659574468,0.008649621829949213,0.03322400161801993
no-rephrase,severe_harm_rate,wilson,True,470,0.002127659574468085,0.0003756829456394578,0.011952193207773673
no-rerank,severe_harm_rate,wilson,True,470,0.010638297872340425,0.004552367089575359,0.024658793232155495
closed-book,severe_harm_rate,wilson,True,470,0.07446808510638298,0.054029395954161424,0.10180639562995236
