config,metric,n_labelled,judge_mean,ppi,ci_low,ci_high
closed-book,contradiction_rate,48,0.16595744680851063,0.18679078014184397,0.10800896166514111,0.2655725986185468
closed-book,nugget_recall,48,0.519,0.597,0.543,0.650
full,contradiction_rate,47,0.014893617021276596,0.036170212765957444,-0.006947955928929314,0.0792883814608442
full,faithfulness,47,0.965,0.995,0.9574759658809098,1.02307263036989
full,nugget_recall,47,0.946,0.980,0.930,1.030
full,supported_citation_rate,45,0.9725016376162822,1.0404910556057,0.9819042596034604,1.0990778516079398
one-step,contradiction_rate,46,0.014925373134328358,0.014925373134328358,-0.046979691411399405,0.07683043768005612
one-step,faithfulness,46,0.982,0.995,0.974808671778306,1.009410197165096
one-step,nugget_recall,46,0.842,0.880,0.833,0.927
one-step,supported_citation_rate,44,0.9880568444855434,1.0124820165792108,0.9882489674066742,1.0367150657517472
