config,metric,n,delta,ci_low,ci_high,p_value,p_holm
one-step,truthfulness,480,-0.08020833333333334,-0.12916666666666668,-0.03229166666666667,0.0012998700129987,0.0012998700129987
closed-book,truthfulness,480,-0.834375,-0.90625,-0.7614583333333333,9.999000099990002e-05,0.00019998000199980003
one-step,perfect_rate,480,-0.07083333333333333,-0.11458333333333333,-0.027083333333333334,0.0015998400159984002,0.0015998400159984002
closed-book,perfect_rate,480,-0.6354166666666666,-0.6791666666666667,-0.5916666666666667,9.999000099990002e-05,0.00019998000199980003
one-step,acceptable_rate,480,-0.022916666666666665,-0.06458333333333334,0.01875,0.31896810318968105,0.31896810318968105
closed-book,acceptable_rate,480,0.13958333333333334,0.08541666666666667,0.19375,9.999000099990002e-05,0.00019998000199980003
one-step,missing_rate,480,0.09583333333333334,0.06666666666666667,0.12708333333333333,9.999000099990002e-05,0.00019998000199980003
closed-book,missing_rate,480,0.22708333333333333,0.18958333333333333,0.2646354166666659,9.999000099990002e-05,0.00019998000199980003
one-step,hallucination_rate,480,-0.0020833333333333333,-0.022916666666666665,0.01875,1.0,1.0
closed-book,hallucination_rate,480,0.26875,0.22291666666666668,0.31255208333333256,9.999000099990002e-05,0.00019998000199980003
one-step,nugget_recall,470,-0.08556737588652481,-0.11705762411347517,-0.054468085106382985,9.999000099990002e-05,0.00019998000199980003
closed-book,nugget_recall,470,-0.6223404255319149,-0.6536187943262413,-0.5907801418439717,9.999000099990002e-05,0.00019998000199980003
one-step,contradiction_rate,470,-0.00425531914893617,-0.02553191489361702,0.01702127659574468,0.8531146885311469,0.8531146885311469
closed-book,contradiction_rate,470,0.2531914893617021,0.20851063829787234,0.2978723404255319,9.999000099990002e-05,0.00019998000199980003
one-step,severe_harm_rate,469,0.0,-0.014925373134328358,0.014925373134328358,1.0,1.0
closed-book,severe_harm_rate,469,0.19402985074626866,0.15565031982942432,0.232409381663113,9.999000099990002e-05,0.00019998000199980003
one-step,harmful_error_rate,469,-0.0042643923240938165,-0.0255863539445629,0.017057569296375266,0.8391160883911609,0.8391160883911609
closed-book,harmful_error_rate,469,0.232409381663113,0.18976545842217485,0.27505330490405117,9.999000099990002e-05,0.00019998000199980003
one-step,faithfulness,469,0.0740653542301352,0.05815584319394715,0.09006135766405755,9.999000099990002e-05,9.999000099990002e-05
closed-book,faithfulness,0,nan,nan,nan,nan,nan
one-step,citation_recall,469,0.10933762928257032,0.08420922092613811,0.1332963550461099,9.999000099990002e-05,0.00019998000199980003
closed-book,citation_recall,469,-0.44246632121711127,-0.46162498732851326,-0.4229837984833877,9.999000099990002e-05,0.00019998000199980003
one-step,supported_citation_rate,451,0.05658500481385663,0.028918893622079774,0.08417060403612113,9.999000099990002e-05,9.999000099990002e-05
closed-book,supported_citation_rate,0,nan,nan,nan,nan,nan
one-step,cited_source_precision,470,0.015683890577507614,-0.013986068895643359,0.04580876393110435,0.30326967303269675,0.30326967303269675
closed-book,cited_source_precision,470,-0.5021175278622088,-0.5328504939209727,-0.4721883865248227,9.999000099990002e-05,0.00019998000199980003
one-step,cited_source_recall,470,-0.08936170212765958,-0.1276595744680851,-0.05106382978723404,9.999000099990002e-05,0.00019998000199980003
closed-book,cited_source_recall,470,-0.925531914893617,-0.948936170212766,-0.9,9.999000099990002e-05,0.00019998000199980003
one-step,response_rate,470,0.002127659574468085,0.0,0.006382978723404255,1.0,1.0
closed-book,response_rate,470,0.002127659574468085,0.0,0.006382978723404255,1.0,1.0
one-step,over_refusal_rate,470,-0.002127659574468085,-0.006382978723404255,0.0,1.0,1.0
closed-book,over_refusal_rate,470,-0.002127659574468085,-0.006382978723404255,0.0,1.0,1.0
one-step,negative_rejection_rate,10,-0.1,-0.3,0.0,1.0,1.0
closed-book,negative_rejection_rate,10,-1.0,-1.0,-1.0,0.001999800019998,0.003999600039996
one-step,redirect_accuracy,10,0.0,-0.3,0.3,1.0,1.0
closed-book,redirect_accuracy,10,-0.8,-1.0,-0.5,0.007899210078992101,0.015798420157984203
one-step,injection_defence_rate,10,0.1,0.0,0.3,1.0,1.0
closed-book,injection_defence_rate,10,-0.1,-0.3,0.0,1.0,1.0
one-step,attack_success_rate,10,0.0,0.0,0.0,1.0,1.0
closed-book,attack_success_rate,10,0.1,0.0,0.3,1.0,1.0
one-step,answer_relevancy,469,0.021036034071511747,0.014538963922606568,0.02761155000334373,9.999000099990002e-05,0.00019998000199980003
closed-book,answer_relevancy,469,-0.008182479675513641,-0.015534198301348348,-0.0009733669385179326,0.030296970302969704,0.030296970302969704
one-step,factual_correctness_f1,469,0.059402985074626866,0.03594829424307036,0.08206876332622601,9.999000099990002e-05,0.00019998000199980003
closed-book,factual_correctness_f1,469,-0.2308102345415778,-0.2524738805970149,-0.20914712153518125,9.999000099990002e-05,0.00019998000199980003
one-step,tokens_per_turn,500,-3595.686,-3816.5056,-3374.3436,9.999000099990002e-05,0.00019998000199980003
closed-book,tokens_per_turn,500,-9761.96,-10078.274300000001,-9430.814,9.999000099990002e-05,0.00019998000199980003
one-step,llm_calls_per_turn,500,-3.194,-3.354,-3.034,9.999000099990002e-05,0.00019998000199980003
closed-book,llm_calls_per_turn,500,-4.192,-4.352,-4.032,9.999000099990002e-05,0.00019998000199980003
one-step,latency_seconds,500,-57.04744,-69.648501,-44.58488550000001,9.999000099990002e-05,0.00019998000199980003
closed-book,latency_seconds,500,-148.12735000000004,-159.95883385,-136.55106715000002,9.999000099990002e-05,0.00019998000199980003
