config,group_type,group,metric,n,mean,ci_low,ci_high
full,category,answerable,truthfulness,420,0.7690476190476191,0.725,0.8107142857142857
full,category,answerable,perfect_rate,420,0.6880952380952381,0.6422531407523169,0.7305277581234626
full,category,answerable,acceptable_rate,420,0.24285714285714285,0.20429772148778766,0.2860777585301342
full,category,answerable,missing_rate,420,0.02857142857142857,0.016418204251796475,0.04927017578106019
full,category,answerable,hallucination_rate,420,0.04047619047619048,0.025422559673639922,0.0638595481361648
full,category,answerable,nugget_recall,420,0.8583730158730158,0.8337688492063491,0.8824623015873014
full,category,answerable,contradiction_rate,420,0.04047619047619048,0.025422559673639922,0.0638595481361648
full,category,answerable,severe_harm_rate,419,0.016706443914081145,0.00811565061868744,0.034078553493780625
full,category,answerable,harmful_error_rate,419,0.03579952267303103,0.021813000761870704,0.05822044466961096
full,category,answerable,faithfulness,419,0.8598417930642741,0.8443753615326117,0.8750032552751529
full,category,answerable,citation_recall,419,0.439167210483642,0.41823687112965385,0.45952082255931836
full,category,answerable,supported_citation_rate,409,0.8540548837246374,0.8299210243957568,0.8767444067577865
full,category,answerable,cited_source_precision,420,0.5181179138321995,0.4862181122448979,0.5510860260770976
full,category,answerable,cited_source_recall,420,0.9238095238095239,0.8944205803876031,0.9455161284717482
full,category,answerable,response_rate,420,0.9976190476190476,0.9866382413504315,0.9995795797259974
full,category,answerable,over_refusal_rate,420,0.002380952380952381,0.00042042027400248944,0.013361758649568439
full,category,answerable,answer_relevancy,419,0.8067959542669774,0.797990319652883,0.8154754093131309
full,category,answerable,factual_correctness_f1,419,0.34291169451073983,0.3218371121718377,0.36381861575179
full,category,answerable,tokens_per_turn,420,10884.27380952381,10584.973035714285,11186.649345238095
full,category,answerable,llm_calls_per_turn,420,5.326190476190476,5.15952380952381,5.4904761904761905
full,category,answerable,latency_seconds,420,235.78877619047617,223.43276291666666,248.72201434523808
full,category,injection,injection_defence_rate,10,0.9,0.5958499732047615,0.9821237869049271
full,category,injection,attack_success_rate,10,0.1,0.017876213095072896,0.4041500267952385
full,category,injection,tokens_per_turn,10,2795.2,609.4975,5846.8075
full,category,injection,llm_calls_per_turn,10,2.5,1.8,3.4
full,category,injection,latency_seconds,10,48.7902,23.931715000000004,89.017685
full,category,multi_turn,truthfulness,50,0.77,0.66,0.86
full,category,multi_turn,perfect_rate,50,0.6,0.4618143774758936,0.7239161026974346
full,category,multi_turn,acceptable_rate,50,0.38,0.25862789310193596,0.5184955306900703
full,category,multi_turn,missing_rate,50,0.0,6.938893903907228e-18,0.07134759913335872
full,category,multi_turn,hallucination_rate,50,0.02,0.003539259271646236,0.10495443589637815
full,category,multi_turn,nugget_recall,50,0.8663333333333333,0.8053333333333333,0.9190083333333332
full,category,multi_turn,contradiction_rate,50,0.02,0.003539259271646236,0.10495443589637815
full,category,multi_turn,severe_harm_rate,50,0.0,6.938893903907228e-18,0.07134759913335872
full,category,multi_turn,harmful_error_rate,50,0.02,0.003539259271646236,0.10495443589637815
full,category,multi_turn,faithfulness,50,0.8148387288554589,0.7614910152584887,0.8625756735435883
full,category,multi_turn,citation_recall,50,0.4701128691635833,0.40850482134370614,0.5324094763275069
full,category,multi_turn,supported_citation_rate,48,0.8253665322787808,0.7506674680413432,0.8912291602969935
full,category,multi_turn,cited_source_precision,50,0.3677142857142857,0.2907845238095238,0.45069107142857145
full,category,multi_turn,cited_source_recall,50,0.94,0.8378290831116182,0.979385029651026
full,category,multi_turn,response_rate,50,1.0,0.9286524008666414,1.0
full,category,multi_turn,over_refusal_rate,50,0.0,6.938893903907228e-18,0.07134759913335872
full,category,multi_turn,answer_relevancy,50,0.6192879280478734,0.5913235831382714,0.6456001977408131
full,category,multi_turn,factual_correctness_f1,50,0.266,0.18839999999999996,0.34619999999999995
full,category,multi_turn,tokens_per_turn,50,8781.94,7824.251499999999,9730.672999999999
full,category,multi_turn,llm_calls_per_turn,50,4.64,4.28,5.04
full,category,multi_turn,latency_seconds,50,130.25365999999997,112.475036,149.60321100000002
full,category,out_of_scope,redirect_accuracy,10,0.8,0.49016247153664183,0.9433178485456247
full,category,out_of_scope,tokens_per_turn,10,671.7,566.6,807.8024999999999
full,category,out_of_scope,llm_calls_per_turn,10,2.2,2.0,2.5
full,category,out_of_scope,latency_seconds,10,24.483299999999996,19.663107499999995,31.874127499999997
full,category,unanswerable,truthfulness,10,1.0,1.0,1.0
full,category,unanswerable,perfect_rate,10,1.0,0.7224672001371107,0.9999999999999999
full,category,unanswerable,acceptable_rate,10,0.0,0.0,0.2775327998628892
full,category,unanswerable,missing_rate,10,0.0,0.0,0.2775327998628892
full,category,unanswerable,hallucination_rate,10,0.0,0.0,0.2775327998628892
full,category,unanswerable,negative_rejection_rate,10,1.0,0.7224672001371107,0.9999999999999999
full,category,unanswerable,tokens_per_turn,10,11798.0,9582.5,13809.4275
full,category,unanswerable,llm_calls_per_turn,10,8.0,8.0,8.0
full,category,unanswerable,latency_seconds,10,195.32119999999998,177.61692499999998,214.58205999999998
full,eval_group,chunk_risk,truthfulness,70,0.7285714285714285,0.6428571428571429,0.8071428571428572
full,eval_group,chunk_risk,perfect_rate,70,0.5285714285714286,0.4132188746832562,0.6409512360361571
full,eval_group,chunk_risk,acceptable_rate,70,0.42857142857142855,0.3193530887999687,0.545221634401498
full,eval_group,chunk_risk,missing_rate,70,0.02857142857142857,0.007870611945441225,0.09832256118423902
full,eval_group,chunk_risk,hallucination_rate,70,0.014285714285714285,0.002526246457890312,0.07658187131208327
full,eval_group,chunk_risk,nugget_recall,70,0.7719047619047619,0.7014285714285714,0.8402380952380952
full,eval_group,chunk_risk,contradiction_rate,70,0.014285714285714285,0.002526246457890312,0.07658187131208327
full,eval_group,chunk_risk,severe_harm_rate,70,0.014285714285714285,0.002526246457890312,0.07658187131208327
full,eval_group,chunk_risk,harmful_error_rate,70,0.014285714285714285,0.002526246457890312,0.07658187131208327
full,eval_group,chunk_risk,faithfulness,70,0.8433280864667535,0.8056034855295969,0.8781423390192283
full,eval_group,chunk_risk,citation_recall,70,0.4293630617748011,0.37907857824645075,0.47946538220971463
full,eval_group,chunk_risk,supported_citation_rate,66,0.8495467030569167,0.7959336580976201,0.8957984092697564
full,eval_group,chunk_risk,cited_source_precision,70,0.7726190476190476,0.6988095238095238,0.8423809523809523
full,eval_group,chunk_risk,cited_source_recall,70,0.9428571428571428,0.8620804952516177,0.9775562208992887
full,eval_group,chunk_risk,response_rate,70,1.0,0.9479769375897331,1.0
full,eval_group,chunk_risk,over_refusal_rate,70,0.0,0.0,0.05202306241026692
full,eval_group,chunk_risk,answer_relevancy,70,0.8034093385994299,0.7871806299329214,0.8193318238534231
full,eval_group,chunk_risk,factual_correctness_f1,70,0.32271428571428573,0.27585714285714286,0.37057142857142855
full,eval_group,chunk_risk,tokens_per_turn,70,12503.485714285714,11962.502142857142,13046.30357142857
full,eval_group,chunk_risk,llm_calls_per_turn,70,5.6,5.2,6.0
full,eval_group,chunk_risk,latency_seconds,70,217.3825285714286,199.2284039285714,236.37283357142857
full,eval_group,formulary,truthfulness,70,0.7642857142857142,0.65,0.8571428571428571
