config,metric,interval,primary,n,mean,ci_low,ci_high
full,truthfulness,bootstrap,True,480,0.7739583333333333,0.734375,0.8125
one-step,truthfulness,bootstrap,True,480,0.69375,0.65,0.734375
closed-book,truthfulness,bootstrap,True,480,-0.06041666666666667,-0.12083333333333333,0.0
full,perfect_rate,wilson,True,480,0.6854166666666667,0.6425430155512423,0.7253460868705589
one-step,perfect_rate,wilson,True,480,0.6145833333333334,0.570297776268296,0.6570494218575361
closed-book,perfect_rate,wilson,True,480,0.05,0.0338271187401656,0.07331843043838455
full,acceptable_rate,wilson,False,480,0.2520833333333333,0.2153119427785484,0.2927913921855602
one-step,acceptable_rate,wilson,False,480,0.22916666666666666,0.19380520672589935,0.2688286886130428
closed-book,acceptable_rate,wilson,False,480,0.39166666666666666,0.3490246443878996,0.43602891374767727
full,missing_rate,wilson,True,480,0.025,0.014357806275901537,0.0431847178570125
one-step,missing_rate,wilson,True,480,0.12083333333333333,0.09464618560887236,0.15304126786564676
closed-book,missing_rate,wilson,True,480,0.2520833333333333,0.2153119427785484,0.2927913921855602
full,hallucination_rate,wilson,True,480,0.0375,0.023850066538831934,0.058493970116900156
one-step,hallucination_rate,wilson,True,480,0.035416666666666666,0.0222281042304214,0.05598234700484102
closed-book,hallucination_rate,wilson,True,480,0.30625,0.26668840302852975,0.34888815286779046
full,nugget_recall,bootstrap,True,470,0.8592198581560283,0.8362047872340426,0.8813484042553191
one-step,nugget_recall,bootstrap,True,470,0.7736524822695036,0.7408501773049645,0.8050008865248227
closed-book,nugget_recall,bootstrap,True,470,0.23687943262411348,0.21166666666666664,0.2622340425531915
full,contradiction_rate,wilson,False,470,0.03829787234042553,0.024360348286526383,0.05972148558223706
one-step,contradiction_rate,wilson,False,470,0.03404255319148936,0.021061233919931723,0.05457895786467286
closed-book,contradiction_rate,wilson,False,470,0.29148936170212764,0.2522267060160344,0.3341328318601812
full,severe_harm_rate,wilson,True,469,0.014925373134328358,0.0072482491188174975,0.030484184211356652
one-step,severe_harm_rate,wilson,True,470,0.014893617021276596,0.007232788312737794,0.030420014093151922
closed-book,severe_harm_rate,wilson,True,470,0.20851063829787234,0.17421964995470973,0.24752786728040815
full,harmful_error_rate,wilson,False,469,0.03411513859275053,0.021106369858111103,0.05469379138427593
one-step,harmful_error_rate,wilson,False,470,0.029787234042553193,0.01782508134197193,0.049373468358473796
