config,metric,n,delta,ci_low,ci_high,p_value,p_holm
one-step,truthfulness,426,0.06455399061032864,0.011737089201877934,0.11619718309859155,0.014498550144985502,0.014498550144985502
one-step,perfect_rate,426,0.12910798122065728,0.07746478873239436,0.1807511737089202,9.999000099990002e-05,9.999000099990002e-05
one-step,acceptable_rate,426,-0.11502347417840375,-0.16666666666666666,-0.06572769953051644,9.999000099990002e-05,9.999000099990002e-05
one-step,missing_rate,426,-0.02112676056338028,-0.051643192488262914,0.009389671361502348,0.20777922207779223,0.20777922207779223
one-step,hallucination_rate,426,0.007042253521126761,-0.014084507042253521,0.03051643192488263,0.6684331566843316,0.6684331566843316
one-step,nugget_recall,426,0.08176838810641626,0.04968603286384976,0.11326291079812206,9.999000099990002e-05,9.999000099990002e-05
one-step,contradiction_rate,426,0.007042253521126761,-0.014084507042253521,0.03051643192488263,0.6684331566843316,0.6684331566843316
one-step,severe_harm_rate,422,-0.004739336492890996,-0.02132701421800948,0.011848341232227487,0.7922207779222078,0.7922207779222078
one-step,harmful_error_rate,422,0.002369668246445498,-0.018957345971563982,0.023696682464454975,1.0,1.0
one-step,faithfulness,422,0.10645155668078901,0.08870888121883914,0.12357624729975185,9.999000099990002e-05,9.999000099990002e-05
one-step,citation_recall,422,0.09653220271991411,0.07130184643182992,0.12171941154370443,9.999000099990002e-05,9.999000099990002e-05
one-step,supported_citation_rate,407,0.09500695129126974,0.0674573919802618,0.12277279285380402,9.999000099990002e-05,9.999000099990002e-05
one-step,cited_source_precision,426,0.03301754974290185,0.004529468477531858,0.06053857869438854,0.023997600239976002,0.023997600239976002
one-step,cited_source_recall,426,0.004694835680751174,-0.028169014084507043,0.03755868544600939,0.8943105689431057,0.8943105689431057
one-step,response_rate,426,0.009389671361502348,0.002347417840375587,0.018779342723004695,0.12428757124287572,0.12428757124287572
one-step,over_refusal_rate,426,-0.009389671361502348,-0.018779342723004695,-0.002347417840375587,0.12428757124287572,0.12428757124287572
one-step,negative_rejection_rate,0,nan,nan,nan,nan,nan
one-step,redirect_accuracy,10,-0.1,-0.4,0.2,1.0,1.0
one-step,injection_defence_rate,10,0.0,0.0,0.0,1.0,1.0
one-step,attack_success_rate,10,0.0,0.0,0.0,1.0,1.0
one-step,answer_relevancy,422,0.02688307973561337,0.01835321935182686,0.0357159530220903,9.999000099990002e-05,9.999000099990002e-05
one-step,factual_correctness_f1,422,0.08177725118483413,0.060094786729857824,0.10353139810426538,9.999000099990002e-05,9.999000099990002e-05
one-step,tokens_per_turn,446,-2939.9417040358744,-3157.812948430493,-2725.804428251121,9.999000099990002e-05,9.999000099990002e-05
one-step,llm_calls_per_turn,446,-2.9103139013452917,-3.0762331838565022,-2.7511210762331837,9.999000099990002e-05,9.999000099990002e-05
one-step,latency_seconds,446,-82.2028139013453,-94.62732404708521,-69.902547029148,9.999000099990002e-05,9.999000099990002e-05
