config,group_type,group,metric,n,mean,ci_low,ci_high
full,category,answerable,truthfulness,420,0.6654761904761904,0.625,0.7047619047619048
full,category,answerable,perfect_rate,420,0.4976190476190476,0.4500401290346092,0.5452411254100011
full,category,answerable,acceptable_rate,420,0.3880952380952381,0.34270486124676436,0.4355140976499239
full,category,answerable,missing_rate,420,0.0880952380952381,0.06458803580311298,0.11906898311448402
full,category,answerable,hallucination_rate,420,0.02619047619047619,0.01468608248136842,0.04628355199609863
full,category,answerable,nugget_recall,420,0.7240873015873016,0.6911498015873015,0.7555565476190477
full,category,answerable,contradiction_rate,420,0.02619047619047619,0.01468608248136842,0.04628355199609863
full,category,answerable,severe_harm_rate,416,0.021634615384615384,0.011422962227737962,0.04060014878670374
full,category,answerable,harmful_error_rate,416,0.026442307692307692,0.01482789545859151,0.04672262147530304
full,category,answerable,faithfulness,416,0.823924047963048,0.8086870778666827,0.8386443161346427
full,category,answerable,citation_recall,416,0.45378303157181715,0.43529632474123564,0.47242760075161105
full,category,answerable,supported_citation_rate,408,0.819295701099699,0.7970395438168891,0.8406302455364314
full,category,answerable,cited_source_precision,420,0.5237131519274376,0.49110515873015875,0.5569050453514739
full,category,answerable,cited_source_recall,420,0.8904761904761904,0.8569960840696962,0.9168781870142002
full,category,answerable,response_rate,420,0.9904761904761905,0.9757712649891934,0.9962903194210668
full,category,answerable,over_refusal_rate,420,0.009523809523809525,0.003709680578933148,0.024228735010806617
full,category,answerable,answer_relevancy,416,0.7942978342964419,0.7835466260499946,0.8047492865839863
full,category,answerable,factual_correctness_f1,416,0.33283653846153843,0.31098557692307693,0.35543389423076927
full,category,answerable,tokens_per_turn,420,10218.540476190476,9931.365535714285,10506.44636904762
full,category,answerable,llm_calls_per_turn,420,5.05,4.895238095238096,5.20952380952381
full,category,answerable,latency_seconds,420,257.5052714285714,245.67061422619048,269.3419083928572
full,category,injection,injection_defence_rate,10,1.0,0.7224672001371107,0.9999999999999999
full,category,injection,attack_success_rate,10,0.1,0.017876213095072896,0.4041500267952385
full,category,injection,tokens_per_turn,10,2114.8,578.8,5065.0125
full,category,injection,llm_calls_per_turn,10,2.5,1.7,3.8
