config,metric,interval,primary,n,mean,ci_low,ci_high
full,truthfulness,bootstrap,True,480,0.665625,0.625,0.7041666666666667
one-step,truthfulness,bootstrap,True,426,0.7323943661971831,0.6889671361502347,0.7734741784037559
full,perfect_rate,wilson,True,480,0.5083333333333333,0.46372137648062284,0.5528129652012558
one-step,perfect_rate,wilson,True,426,0.6314553990610329,0.5846606893498701,0.6759004959468701
full,acceptable_rate,wilson,False,480,0.3770833333333333,0.3348634760314729,0.42125498416081625
one-step,acceptable_rate,wilson,False,426,0.2676056338028169,0.22777923015910445,0.31158581726272977
full,missing_rate,wilson,True,480,0.08333333333333333,0.06179325475620216,0.11148966114986279
one-step,missing_rate,wilson,True,426,0.06807511737089202,0.04781328796119082,0.09605710320666282
full,hallucination_rate,wilson,True,480,0.03125,0.019027784479138242,0.05091549591518483
one-step,hallucination_rate,wilson,True,426,0.03286384976525822,0.01967548509342385,0.0544017314413744
full,nugget_recall,bootstrap,True,470,0.7309574468085107,0.7002127659574469,0.7615248226950354
one-step,nugget_recall,bootstrap,True,426,0.8075508607198748,0.7769170579029735,0.836072965571205
full,contradiction_rate,wilson,False,470,0.027659574468085105,0.016234394944847446,0.04674333371351884
one-step,contradiction_rate,wilson,False,426,0.03286384976525822,0.01967548509342385,0.0544017314413744
full,severe_harm_rate,wilson,True,466,0.02145922746781116,0.011697182842531632,0.03904644221034552
one-step,severe_harm_rate,wilson,True,426,0.01643192488262911,0.007981922415855195,0.033525145956850536
full,harmful_error_rate,wilson,False,466,0.027896995708154508,0.01637435234060753,0.047139537846087425
one-step,harmful_error_rate,wilson,False,426,0.028169014084507043,0.016185929427338618,0.04858553048971891
full,faithfulness,bootstrap,True,466,0.8172524626609492,0.802149387065781,0.8317112667359895
one-step,faithfulness,bootstrap,True,426,0.9279893038887036,0.9150380820554909,0.9397580896819139
full,citation_recall,bootstrap,True,466,0.4539090237476149,0.4365783682958525,0.47147565238941325
one-step,citation_recall,bootstrap,True,426,0.5472940354914899,0.52679308744744,0.5670090010901861
full,supported_citation_rate,bootstrap,False,456,0.8180482326126787,0.7970537037206231,0.8385766016100749
one-step,supported_citation_rate,bootstrap,False,420,0.913090810947776,0.89457720200093,0.9303158622453555
full,cited_source_precision,bootstrap,False,470,0.5038120567375887,0.47279787234042553,0.5360904255319149
one-step,cited_source_precision,bootstrap,False,426,0.5519366197183099,0.5180410937849318,0.585401506259781
full,cited_source_recall,wilson,False,470,0.8914893617021277,0.8601318899117026,0.9164991818309126
one-step,cited_source_recall,wilson,False,426,0.8943661971830986,0.8615716605648537,0.920111895325367
full,response_rate,wilson,True,470,0.9914893617021276,0.9783241167762718,0.9966855439440766
one-step,response_rate,wilson,True,426,1.0,0.9910630797893867,0.9999999999999998
full,over_refusal_rate,wilson,False,470,0.00851063829787234,0.003314456055923374,0.02167588322372805
one-step,over_refusal_rate,wilson,False,426,0.0,0.0,0.008936920210613205
full,negative_rejection_rate,wilson,True,10,0.8,0.49016247153664183,0.9433178485456247
one-step,negative_rejection_rate,wilson,True,0,nan,nan,nan
full,redirect_accuracy,wilson,True,10,0.9,0.5958499732047615,0.9821237869049271
one-step,redirect_accuracy,wilson,True,10,0.8,0.49016247153664183,0.9433178485456247
full,injection_defence_rate,wilson,True,10,1.0,0.7224672001371107,0.9999999999999999
one-step,injection_defence_rate,wilson,True,10,1.0,0.7224672001371107,0.9999999999999999
full,attack_success_rate,wilson,False,10,0.1,0.017876213095072896,0.4041500267952385
one-step,attack_success_rate,wilson,False,10,0.1,0.017876213095072896,0.4041500267952385
full,answer_relevancy,bootstrap,False,466,0.7731326178039193,0.7616509222675473,0.7842906242130955
one-step,answer_relevancy,bootstrap,False,426,0.8163526880795229,0.8071375674341571,0.8256600265571562
full,factual_correctness_f1,bootstrap,False,466,0.3230257510729614,0.30201716738197426,0.3436915236051502
one-step,factual_correctness_f1,bootstrap,False,426,0.41438967136150234,0.3889671361502347,0.43971889671361497
full,tokens_per_turn,bootstrap,True,500,9686.312,9369.6447,9996.2882
one-step,tokens_per_turn,bootstrap,True,446,6834.47533632287,6625.0034192825115,7033.972477578475
full,llm_calls_per_turn,bootstrap,True,500,4.93,4.78,5.082
one-step,llm_calls_per_turn,bootstrap,True,446,1.9977578475336324,1.993273542600897,2.0
full,latency_seconds,bootstrap,False,500,235.346446,224.20385285,246.66668565
one-step,latency_seconds,bootstrap,False,446,163.27743721973093,157.4299092488789,169.46010762331838
full,latency_p50,percentile,False,500,214.4635,,
one-step,latency_p50,percentile,False,446,159.733,,
full,latency_p95,percentile,False,500,484.93089999999955,,
one-step,latency_p95,percentile,False,446,256.95025,,
