config,metric,n_labelled,judge_mean,ppi,ci_low,ci_high
closed-book,contradiction_rate,48,0.29148936170212764,0.24982269503546098,0.15838540021878023,0.34125998985214173
closed-book,nugget_recall,48,0.237,0.285,0.242,0.329
full,contradiction_rate,47,0.03829787234042553,0.03829787234042553,0.02092909364289598,0.05566665103795508
full,faithfulness,47,0.8550440250249548,0.8832015863841264,0.8299038826835461,0.9364992900847067
full,nugget_recall,47,0.938,0.968,0.925,1.011
full,supported_citation_rate,44,0.8510416651920311,0.958850037827441,0.8918547359264911,1.0258453397283909
one-step,contradiction_rate,46,0.03404255319148936,-0.031174838112858462,-0.10515852816397483,0.042808851938257904
one-step,faithfulness,46,0.9288612741928451,0.9491009888671147,0.9041903894154759,0.9940115883187535
one-step,nugget_recall,46,0.828,0.862,0.809,0.915
one-step,supported_citation_rate,46,0.908071536073539,0.9375840039503488,0.9021526984066596,0.973015309494038
