config,metric,n,delta,ci_low,ci_high,p_value,p_holm
one-step,truthfulness,479,-0.028183716075156576,-0.06680584551148225,0.008350730688935281,0.1586841315868413,0.4760523947605239
no-judge-refine,truthfulness,480,0.015625,-0.015625,0.04791666666666667,0.37466253374662534,0.7493250674932507
no-rephrase,truthfulness,480,-0.041666666666666664,-0.084375,-0.0010416666666666667,0.056394360563943605,0.22557744225577442
no-rerank,truthfulness,480,0.014583333333333334,-0.017708333333333333,0.04791666666666667,0.41455854414558546,0.7493250674932507
one-step,perfect_rate,479,0.0,-0.04175365344467641,0.04175365344467641,1.0,1.0
no-judge-refine,perfect_rate,480,0.008333333333333333,-0.022916666666666665,0.03958333333333333,0.6941305869413059,1.0
no-rephrase,perfect_rate,480,-0.0125,-0.05416666666666667,0.029166666666666667,0.6282371762823717,1.0
no-rerank,perfect_rate,480,0.00625,-0.029166666666666667,0.03958333333333333,0.817018298170183,1.0
one-step,acceptable_rate,479,-0.06889352818371608,-0.10438413361169102,-0.033402922755741124,0.00019998000199980003,0.0007999200079992001
no-judge-refine,acceptable_rate,480,0.0020833333333333333,-0.027083333333333334,0.03125,1.0,1.0
no-rephrase,acceptable_rate,480,-0.0625,-0.09791666666666667,-0.027083333333333334,0.000999900009999,0.0029997000299970002
no-rerank,acceptable_rate,480,0.0,-0.03333333333333333,0.03333333333333333,1.0,1.0
one-step,missing_rate,479,0.07515657620041753,0.04384133611691023,0.10855949895615867,9.999000099990002e-05,0.00039996000399960006
no-judge-refine,missing_rate,480,-0.004166666666666667,-0.016666666666666666,0.008333333333333333,0.7507249275072493,1.0
no-rephrase,missing_rate,480,0.07708333333333334,0.04583333333333333,0.11041666666666666,9.999000099990002e-05,0.00039996000399960006
no-rerank,missing_rate,480,0.0020833333333333333,-0.016666666666666666,0.020833333333333332,1.0,1.0
one-step,hallucination_rate,479,-0.006263048016701462,-0.018789144050104383,0.006263048016701462,0.5073492650734927,1.0
no-judge-refine,hallucination_rate,480,-0.00625,-0.020833333333333332,0.008333333333333333,0.5844415558444156,1.0
no-rephrase,hallucination_rate,480,-0.0020833333333333333,-0.01875,0.014583333333333334,1.0,1.0
no-rerank,hallucination_rate,480,-0.008333333333333333,-0.020833333333333332,0.004166666666666667,0.3457654234576542,1.0
one-step,nugget_recall,469,-0.046908315565032,-0.08070451314854299,-0.013680703624733486,0.0064993500649935,0.0231976802319768
no-judge-refine,nugget_recall,470,0.014858156028368796,-0.001596631205673758,0.032163120567375886,0.0943905609439056,0.1887811218878112
no-rephrase,nugget_recall,470,-0.04783687943262411,-0.08284219858156028,-0.014078014184397162,0.0057994200579942,0.0231976802319768
no-rerank,nugget_recall,470,0.007943262411347518,-0.01404255319148936,0.030106382978723405,0.48005199480051997,0.48005199480051997
one-step,contradiction_rate,469,-0.006396588486140725,-0.019189765458422176,0.006396588486140725,0.513948605139486,1.0
no-judge-refine,contradiction_rate,470,-0.006382978723404255,-0.02127659574468085,0.00851063829787234,0.5744425557444256,1.0
no-rephrase,contradiction_rate,470,-0.002127659574468085,-0.019148936170212766,0.01276595744680851,1.0,1.0
no-rerank,contradiction_rate,470,-0.00851063829787234,-0.02127659574468085,0.00425531914893617,0.34436556344365565,1.0
one-step,severe_harm_rate,469,0.0,-0.008528784648187633,0.008528784648187633,1.0,1.0
no-judge-refine,severe_harm_rate,470,-0.002127659574468085,-0.01276595744680851,0.00851063829787234,1.0,1.0
no-rephrase,severe_harm_rate,470,-0.00851063829787234,-0.01702127659574468,-0.002127659574468085,0.1284871512848715,0.513948605139486
no-rerank,severe_harm_rate,470,-0.00425531914893617,-0.014893617021276596,0.006382978723404255,0.6868313168683132,1.0
one-step,harmful_error_rate,469,-0.0021321961620469083,-0.01279317697228145,0.008528784648187633,1.0,1.0
no-judge-refine,harmful_error_rate,470,-0.002127659574468085,-0.01702127659574468,0.010638297872340425,1.0,1.0
no-rephrase,harmful_error_rate,470,0.0,-0.01276595744680851,0.01276595744680851,1.0,1.0
no-rerank,harmful_error_rate,470,-0.00425531914893617,-0.01702127659574468,0.006382978723404255,0.7241275872412759,1.0
one-step,faithfulness,469,0.024204064347079335,0.015261085187265901,0.0338281950256262,9.999000099990002e-05,0.00039996000399960006
no-judge-refine,faithfulness,470,0.004559261894390345,-0.005082955109324712,0.014327725386569332,0.35996400359964004,0.35996400359964004
no-rephrase,faithfulness,470,0.021572344720858522,0.012021657350648588,0.0315868348359672,9.999000099990002e-05,0.00039996000399960006
no-rerank,faithfulness,470,-0.03817501903536272,-0.05000126055411302,-0.026607784558184123,9.999000099990002e-05,0.00039996000399960006
