config,group_type,group,metric,n,mean
no-rerank,category,answerable,behaviour_correct,420,1.0
no-rerank,category,answerable,key_fact_recall,420,0.8385317460317461
no-rerank,category,answerable,contradiction,420,0.02142857142857143
no-rerank,category,answerable,faithfulness,420,0.8863260248292699
no-rerank,category,answerable,factual_correctness,420,0.3497619047619048
no-rerank,category,answerable,answer_relevancy,420,0.8087433797371764
no-rerank,category,answerable,citation_precision,420,0.5973781179138321
no-rerank,category,answerable,citation_recall,420,0.8952380952380953
no-rerank,category,answerable,citation_support,413,0.9640074352019892
no-rerank,category,answerable,tokens_per_turn,420,13262.054761904761
no-rerank,category,answerable,llm_calls,420,5.4
no-rerank,category,answerable,latency_seconds,420,64.13230714285714
no-rerank,category,injection,behaviour_correct,10,1.0
no-rerank,category,injection,injection_followed,10,0.0
no-rerank,category,injection,tokens_per_turn,10,2637.2
no-rerank,category,injection,llm_calls,10,1.9
no-rerank,category,injection,latency_seconds,10,21.8424
no-rerank,category,multi_turn,behaviour_correct,50,1.0
no-rerank,category,multi_turn,key_fact_recall,50,0.8786666666666666
no-rerank,category,multi_turn,contradiction,50,0.0
no-rerank,category,multi_turn,faithfulness,50,0.8897435710767183
no-rerank,category,multi_turn,factual_correctness,50,0.23399999999999999
no-rerank,category,multi_turn,answer_relevancy,50,0.6168405948704422
no-rerank,category,multi_turn,citation_precision,50,0.4598333333333333
no-rerank,category,multi_turn,citation_recall,50,0.92
no-rerank,category,multi_turn,citation_support,49,0.9659886854422733
no-rerank,category,multi_turn,tokens_per_turn,50,9780.08
no-rerank,category,multi_turn,llm_calls,50,4.2
no-rerank,category,multi_turn,latency_seconds,50,19.81678
no-rerank,category,out_of_scope,behaviour_correct,10,1.0
no-rerank,category,out_of_scope,tokens_per_turn,10,943.8
no-rerank,category,out_of_scope,llm_calls,10,2.0
no-rerank,category,out_of_scope,latency_seconds,10,7.172699999999999
no-rerank,category,unanswerable,behaviour_correct,10,1.0
no-rerank,category,unanswerable,declined,10,1.0
no-rerank,category,unanswerable,tokens_per_turn,10,15755.7
no-rerank,category,unanswerable,llm_calls,10,8.0
no-rerank,category,unanswerable,latency_seconds,10,45.6337
no-rerank,eval_group,chunk_risk,behaviour_correct,71,1.0
no-rerank,eval_group,chunk_risk,key_fact_recall,71,0.5910798122065729
no-rerank,eval_group,chunk_risk,contradiction,71,0.056338028169014086
no-rerank,eval_group,chunk_risk,faithfulness,71,0.9151133151809423
no-rerank,eval_group,chunk_risk,factual_correctness,71,0.23267605633802815
no-rerank,eval_group,chunk_risk,answer_relevancy,71,0.7777584898530685
no-rerank,eval_group,chunk_risk,citation_precision,71,0.731455399061033
no-rerank,eval_group,chunk_risk,citation_recall,71,0.8873239436619719
no-rerank,eval_group,chunk_risk,citation_support,70,0.9748609493498659
no-rerank,eval_group,chunk_risk,tokens_per_turn,71,15711.676056338029
no-rerank,eval_group,chunk_risk,llm_calls,71,5.52112676056338
no-rerank,eval_group,chunk_risk,latency_seconds,71,77.68947887323944
no-rerank,eval_group,formulary,behaviour_correct,118,1.0
no-rerank,eval_group,formulary,key_fact_recall,118,0.8374293785310735
no-rerank,eval_group,formulary,contradiction,118,0.0
no-rerank,eval_group,formulary,faithfulness,118,0.8899686529322435
no-rerank,eval_group,formulary,factual_correctness,118,0.2947457627118644
no-rerank,eval_group,formulary,answer_relevancy,118,0.7392869605746839
no-rerank,eval_group,formulary,citation_precision,118,0.3945117029862793
no-rerank,eval_group,formulary,citation_recall,118,0.8898305084745762
no-rerank,eval_group,formulary,citation_support,115,0.9673138971131146
no-rerank,eval_group,formulary,tokens_per_turn,118,10000.822033898305
no-rerank,eval_group,formulary,llm_calls,118,4.372881355932203
no-rerank,eval_group,formulary,latency_seconds,118,27.866822033898305
no-rerank,eval_group,leaflet,behaviour_correct,70,1.0
no-rerank,eval_group,leaflet,key_fact_recall,70,0.9452380952380953
no-rerank,eval_group,leaflet,contradiction,70,0.0
no-rerank,eval_group,leaflet,faithfulness,70,0.9204244347243218
no-rerank,eval_group,leaflet,factual_correctness,70,0.4434285714285714
no-rerank,eval_group,leaflet,answer_relevancy,70,0.8134656666723643
no-rerank,eval_group,leaflet,citation_precision,70,0.873469387755102
no-rerank,eval_group,leaflet,citation_recall,70,0.9571428571428572
no-rerank,eval_group,leaflet,citation_support,70,0.9706836734693878
no-rerank,eval_group,leaflet,tokens_per_turn,70,15154.714285714286
no-rerank,eval_group,leaflet,llm_calls,70,6.257142857142857
no-rerank,eval_group,leaflet,latency_seconds,70,91.35711428571426
no-rerank,eval_group,multi_intent,behaviour_correct,70,1.0
no-rerank,eval_group,multi_intent,key_fact_recall,70,0.8861904761904762
no-rerank,eval_group,multi_intent,contradiction,70,0.05714285714285714
no-rerank,eval_group,multi_intent,faithfulness,70,0.8760300046342414
no-rerank,eval_group,multi_intent,factual_correctness,70,0.27985714285714286
no-rerank,eval_group,multi_intent,answer_relevancy,70,0.8625687869203728
no-rerank,eval_group,multi_intent,citation_precision,70,0.40336734693877546
no-rerank,eval_group,multi_intent,citation_recall,70,0.9285714285714286
no-rerank,eval_group,multi_intent,citation_support,70,0.9692115331520258
no-rerank,eval_group,multi_intent,tokens_per_turn,70,12544.4
no-rerank,eval_group,multi_intent,llm_calls,70,4.885714285714286
no-rerank,eval_group,multi_intent,latency_seconds,70,34.616542857142846
no-rerank,eval_group,noisy_confuser,behaviour_correct,71,1.0
no-rerank,eval_group,noisy_confuser,key_fact_recall,71,0.8476525821596244
no-rerank,eval_group,noisy_confuser,contradiction,71,0.014084507042253521
no-rerank,eval_group,noisy_confuser,faithfulness,71,0.8329031932468208
no-rerank,eval_group,noisy_confuser,factual_correctness,71,0.3571830985915493
no-rerank,eval_group,noisy_confuser,answer_relevancy,71,0.7151951042796618
no-rerank,eval_group,noisy_confuser,citation_precision,71,0.3880281690140845
no-rerank,eval_group,noisy_confuser,citation_recall,71,0.8169014084507042
no-rerank,eval_group,noisy_confuser,citation_support,70,0.9487556658214934
no-rerank,eval_group,noisy_confuser,tokens_per_turn,71,10017.74647887324
no-rerank,eval_group,noisy_confuser,llm_calls,71,4.366197183098592
no-rerank,eval_group,noisy_confuser,latency_seconds,71,28.751225352112673
no-rerank,eval_group,patient_natural,behaviour_correct,70,1.0
no-rerank,eval_group,patient_natural,key_fact_recall,70,0.9564285714285715
no-rerank,eval_group,patient_natural,contradiction,70,0.0
no-rerank,eval_group,patient_natural,faithfulness,70,0.883811786895056
