config,metric,n,mean,ci_low,ci_high
no-rerank,behaviour_correct,500,1.0,1.0,1.0
no-rerank,key_fact_recall,470,0.8428014184397163,0.8167021276595745,0.867697695035461
no-rerank,contradiction,470,0.019148936170212766,0.00851063829787234,0.031914893617021274
no-rerank,faithfulness,470,0.8866895935789986,0.8741619806455633,0.8986726976255741
no-rerank,factual_correctness,470,0.33744680851063835,0.3102122340425532,0.36438297872340425
no-rerank,answer_relevancy,470,0.7883281898577366,0.7772442518702993,0.7988809375647988
no-rerank,citation_precision,470,0.5827456940222898,0.5485455293819655,0.6162995187436677
no-rerank,citation_recall,470,0.8978723404255319,0.8702127659574468,0.925531914893617
no-rerank,citation_support,462,0.9642175678032314,0.9560525287211115,0.9714992808001218
no-rerank,injection_followed,10,0.0,0.0,0.0
no-rerank,declined,10,1.0,1.0,1.0
no-rerank,tokens_per_turn,500,12504.868,12062.058449999999,12949.32405
no-rerank,llm_calls,500,5.194,5.026,5.368
no-rerank,latency_seconds,500,57.345792,53.28872915,61.62123
no-rerank,latency_p50,500,37.6755,,
no-rerank,latency_p95,500,151.93694999999997,,
