config,metric,n_labelled,judge_mean,ppi,ci_low,ci_high
closed-book,contradiction_rate,48,0.16595744680851063,0.18679078014184397,0.10800896166514111,0.2655725986185468
closed-book,nugget_recall,48,0.5189716312056737,0.5967494089834514,0.5434391484647358,0.650059669502167
full,contradiction_rate,47,0.014893617021276596,0.036170212765957444,-0.006947955928929314,0.0792883814608442
full,faithfulness,47,0.9459670815850129,0.9902742981253999,0.9574759658809098,1.02307263036989
full,nugget_recall,47,0.9304964539007092,0.9716312056737589,0.9219560853550779,1.02130632599244
full,supported_citation_rate,45,0.9725016376162822,1.0404910556057,0.9819042596034604,1.0990778516079398
one-step,contradiction_rate,46,0.014925373134328358,0.014925373134328358,-0.046979691411399405,0.07683043768005612
one-step,faithfulness,46,0.9784953432489141,0.992109434471701,0.974808671778306,1.009410197165096
one-step,nugget_recall,46,0.8164179104477611,0.8551860263897901,0.8085312478902802,0.9018408048893001
one-step,supported_citation_rate,44,0.9880568444855434,1.0124820165792108,0.9882489674066742,1.0367150657517472
